Order ID,Quantity,Profit,Discount,Sales,Location ID,Order Date,Customer ID,Product ID
CA-2016-152156,2,41.9136,0.0,261.96,0,0,0,0
CA-2016-152156,3,219.582,0.0,731.94,0,0,0,1
CA-2016-138688,2,6.8714,0.0,14.62,1,1,1,2
US-2015-108966,5,-383.031,0.45,957.5775,2,2,2,3
US-2015-108966,2,2.5164,0.2,22.368000000000002,2,2,2,4
CA-2014-115812,7,14.1694,0.0,48.86,3,3,3,5
CA-2014-115812,4,1.9656,0.0,7.28,3,3,3,6
CA-2014-115812,6,90.7152,0.2,907.1519999999999,3,3,3,7
CA-2014-115812,3,5.7825,0.2,18.504,3,3,3,8
CA-2014-115812,5,34.47,0.0,114.9,3,3,3,9
CA-2014-115812,9,85.3092,0.2,1706.184,3,3,3,10
CA-2014-115812,4,68.3568,0.2,911.424,3,3,3,11
CA-2017-114412,3,5.4432,0.2,15.552,4,4,4,12
CA-2016-161389,3,132.5922,0.2,407.976,5,5,5,13
US-2015-118983,5,-123.85799999999999,0.8,68.81,6,6,6,14
US-2015-118983,3,-3.8160000000000003,0.8,2.544,6,6,6,15
CA-2014-105893,6,13.3176,0.0,665.88,7,7,7,16
CA-2014-167164,2,9.99,0.0,55.5,8,8,8,17
CA-2014-143336,2,2.4824,0.0,8.56,9,9,9,18
CA-2014-143336,3,16.011,0.2,213.48,9,9,9,19
CA-2014-143336,4,7.3839999999999995,0.2,22.72,9,9,9,20
CA-2016-137330,7,5.0596,0.0,19.46,10,10,10,21
CA-2016-137330,7,15.6884,0.0,60.34,10,10,10,22
US-2017-156909,2,-1.0196,0.3,71.372,11,11,11,23
CA-2015-106320,3,240.2649,0.0,1044.63,12,12,12,3
CA-2016-121755,2,4.2224,0.2,11.648,13,13,13,24
CA-2016-121755,3,11.7741,0.0,90.57,13,13,13,25
US-2015-150630,7,-1665.0522,0.5,3083.43,11,14,14,26
US-2015-150630,2,-7.0532,0.7,9.618,11,14,14,27
US-2015-150630,3,15.525,0.2,124.2,11,14,14,28
US-2015-150630,2,1.1016,0.2,3.264,11,14,14,29
US-2015-150630,6,9.7092,0.2,86.304,11,14,14,30
US-2015-150630,6,-5.715,0.7,6.858,11,14,14,31
US-2015-150630,2,3.5460000000000003,0.2,15.76,11,14,14,32
CA-2017-107727,3,9.9468,0.2,29.471999999999998,14,15,15,33
CA-2016-117590,7,123.4737,0.2,1097.5439999999999,15,16,16,34
CA-2016-117590,5,-147.963,0.6,190.92,15,16,16,35
CA-2015-117415,9,35.415,0.2,113.32799999999999,16,17,17,36
CA-2015-117415,3,-46.9764,0.32,532.3992,16,17,17,37
CA-2015-117415,3,-15.147,0.3,212.058,16,17,17,38
CA-2015-117415,4,41.7564,0.2,371.168,16,17,17,39
CA-2017-120999,4,16.5564,0.2,147.168,17,18,18,40
CA-2016-101343,2,3.8939999999999997,0.0,77.88,13,19,19,41
CA-2017-139619,2,9.5616,0.2,95.616,18,20,20,42
CA-2016-118255,2,19.7714,0.0,45.98,19,21,21,43
CA-2016-118255,2,8.2062,0.0,17.46,19,21,21,44
CA-2014-146703,4,8.4784,0.0,211.96,20,22,22,45
CA-2016-169194,3,4.95,0.0,45.0,21,23,23,46
CA-2016-169194,2,6.104,0.0,21.8,21,23,23,47
CA-2015-115742,6,17.9634,0.0,38.22,22,24,24,48
CA-2015-115742,6,35.3346,0.0,75.18,22,24,24,49
CA-2015-115742,2,2.9568,0.0,6.16,22,24,24,50
CA-2015-115742,1,17.0981,0.0,89.99,22,24,24,51
CA-2016-105816,7,6.2566,0.0,15.26,23,25,25,52
CA-2016-105816,5,298.6855,0.0,1029.95,23,25,25,53
CA-2016-111682,6,52.14,0.0,208.56,24,26,26,54
CA-2016-111682,5,15.552,0.0,32.4,24,26,26,55
CA-2016-111682,5,7.098,0.1,319.41,24,26,26,56
CA-2016-111682,2,6.9888,0.0,14.56,24,26,26,57
CA-2016-111682,2,3.3,0.0,30.0,24,26,26,46
CA-2016-111682,4,16.362000000000002,0.2,48.48,24,26,26,58
CA-2016-111682,1,0.84,0.0,1.68,24,26,26,59
CA-2015-135545,2,6.1512,0.0,13.98,25,27,27,60
CA-2015-135545,6,9.3612,0.2,25.824,25,27,27,61
CA-2015-135545,3,68.9631,0.0,146.73,25,27,27,62
CA-2015-135545,4,22.3328,0.0,79.76,25,27,27,63
US-2015-164175,5,-15.2225,0.3,213.115,26,28,28,64
CA-2014-106376,8,111.3024,0.2,1113.024,27,29,29,65
CA-2014-106376,4,62.988,0.2,167.968,27,29,29,66
CA-2016-119823,2,35.6636,0.0,75.88,28,30,30,67
CA-2016-106075,1,1.7309999999999999,0.2,4.6160000000000005,29,31,31,68
CA-2017-114440,3,8.763,0.0,19.05,30,32,14,69
US-2015-134026,8,-114.3912,0.2,831.936,31,33,32,70
US-2015-134026,2,1.213,0.2,97.04,31,33,32,71
US-2015-134026,1,-18.195999999999998,0.2,72.78399999999999,31,33,32,72
US-2017-118038,3,-1.9344,0.8,1.248,16,34,33,73
US-2017-118038,3,-5.8248,0.6,9.708,16,34,33,74
US-2017-118038,3,2.7239999999999998,0.2,27.24,16,34,33,75
US-2014-147606,5,-14.475,0.6,19.3,32,35,32,76
CA-2016-127208,1,56.2032,0.0,208.16,33,1,34,77
CA-2016-127208,3,8.0352,0.0,16.74,33,1,34,78
CA-2014-139451,5,4.172,0.0,14.9,34,36,35,79
CA-2014-139451,1,6.2031,0.0,21.39,34,36,35,80
CA-2015-149734,7,62.8075,0.2,200.984,35,37,36,81
US-2017-119662,3,-48.9549,0.2,230.37599999999998,36,38,37,82
CA-2017-140088,2,33.2156,0.0,301.96,37,39,22,83
CA-2017-155558,1,6.7966,0.0,19.99,38,40,38,84
CA-2017-155558,2,2.9568,0.0,6.16,38,40,38,85
CA-2016-159695,7,13.8572,0.2,158.368,14,41,39,86
CA-2016-109806,3,6.632999999999999,0.0,20.1,1,42,40,87
CA-2016-109806,2,8.2782,0.2,73.584,1,42,40,40
CA-2016-109806,1,3.1104,0.0,6.48,1,42,40,88
CA-2015-149587,2,6.2208,0.0,12.96,39,43,41,89
CA-2015-149587,3,16.5354,0.0,53.34,39,43,41,90
CA-2015-149587,2,16.1504,0.0,32.96,39,43,41,91
US-2017-109484,1,-3.7880000000000003,0.7,5.682,40,44,42,92
CA-2017-161018,7,40.5426,0.0,96.53,29,45,43,93
CA-2017-157833,3,17.9592,0.2,51.312,34,46,44,94
CA-2016-149223,6,22.5852,0.0,77.88,41,47,45,95
CA-2016-158568,7,22.6184,0.2,64.624,26,48,46,96
CA-2016-158568,3,-10.7973,0.2,95.976,26,48,46,97
CA-2016-158568,3,-3.0396,0.8,1.788,26,48,46,98
CA-2016-129903,4,11.7208,0.0,23.92,38,49,47,99
US-2015-156867,6,-26.8758,0.2,238.896,42,50,48,100
US-2015-156867,3,-3.8385,0.2,102.36,42,50,48,101
US-2015-156867,3,-25.8174,0.7,36.882,42,50,48,102
CA-2017-119004,8,17.6016,0.2,74.112,43,51,49,103
CA-2017-119004,1,2.0994,0.2,27.991999999999997,43,51,49,104
CA-2017-119004,1,1.0738,0.2,3.304,43,51,49,105
CA-2015-129476,5,67.992,0.2,339.96,44,52,50,106
CA-2017-146780,2,10.9096,0.0,41.96,45,53,51,107
CA-2016-128867,2,22.788,0.0,75.96,46,54,52,108
CA-2016-128867,6,13.3476,0.0,27.24,46,54,52,109
CA-2014-115259,14,14.5348,0.2,40.096,47,55,53,110
CA-2014-115259,2,1.652,0.2,4.72,47,55,53,111
CA-2014-115259,3,7.4925,0.2,23.976,47,55,53,112
CA-2014-115259,6,44.0316,0.2,130.464,47,55,53,113
CA-2015-110457,3,165.3813,0.0,787.53,5,56,54,114
US-2015-136476,1,-115.7156,0.7,157.79399999999998,48,57,55,115
CA-2016-103730,3,18.3456,0.0,47.04,49,1,56,116
CA-2016-103730,4,13.878,0.0,30.84,49,1,56,8
CA-2016-103730,6,63.4368,0.0,226.56,49,1,56,117
CA-2016-103730,9,51.75899999999999,0.0,115.02,49,1,56,118
CA-2016-103730,7,19.7316,0.0,68.04,49,1,56,119
US-2014-152030,3,-8.5794,0.3,600.558,16,58,57,120
US-2014-134614,6,-407.68199999999996,0.5,617.7,50,59,58,121
US-2017-107272,2,-1.8308,0.7,2.388,51,60,59,122
US-2017-107272,7,30.499000000000002,0.2,243.99200000000002,51,60,59,123
US-2016-125969,2,-9.1602,0.2,81.42399999999999,25,61,60,64
